Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Device_D","Diode-Hybrid-Back",15.000000,-54.000000,84.500000,top
"D2","Device_D","Diode-Hybrid-Back",12.500000,-71.000000,84.500000,top
"D3","Device_D","Diode-Hybrid-Back",11.000000,-89.500000,84.500000,top
"D4","Device_D","Diode-Hybrid-Back",6.000000,-107.000000,84.500000,top
"D5","Device_D","Diode-Hybrid-Back",19.000000,-128.000000,83.000000,top
"D11","Device_D","Diode-Hybrid-Back",35.500000,-55.500000,83.000000,top
"D12","Device_D","Diode-Hybrid-Back",33.000000,-71.000000,83.000000,top
"D13","Device_D","Diode-Hybrid-Back",30.960000,-89.511115,83.000000,top
"D14","Device_D","Diode-Hybrid-Back",28.500000,-107.000000,83.000000,top
"D15","Device_D","Diode-Hybrid-Back",42.000000,-128.000000,83.000000,top
"D21","Device_D","Diode-Hybrid-Back",54.500000,-57.500000,83.000000,top
"D22","Device_D","Diode-Hybrid-Back",52.000000,-71.000000,83.000000,top
"D23","Device_D","Diode-Hybrid-Back",50.050000,-89.511115,83.000000,top
"D24","Device_D","Diode-Hybrid-Back",48.000000,-107.000000,83.000000,top
"D25","Device_D","Diode-Hybrid-Back",45.000000,-128.000000,83.000000,top
"D31","Device_D","Diode-Hybrid-Back",71.000000,-61.500000,83.000000,top
"D32","Device_D","Diode-Hybrid-Back",71.000000,-78.000000,83.000000,top
"D33","Device_D","Diode-Hybrid-Back",68.500000,-96.000000,83.000000,top
"D34","Device_D","Diode-Hybrid-Back",67.000000,-114.000000,83.000000,top
"D35","Device_D","Diode-Hybrid-Back",64.500000,-132.000000,83.000000,top
"D41","Device_D","Diode-Hybrid-Back",90.000000,-61.500000,83.000000,top
"D42","Device_D","Diode-Hybrid-Back",90.000000,-78.000000,84.500000,top
"D43","Device_D","Diode-Hybrid-Back",88.000000,-96.000000,84.500000,top
"D44","Device_D","Diode-Hybrid-Back",85.500000,-114.000000,84.500000,top
"D45","Device_D","Diode-Hybrid-Back",84.000000,-132.500000,90.000000,top
"D51","Device_D","Diode-Hybrid-Back",109.000000,-61.500000,90.000000,top
"D52","Device_D","Diode-Hybrid-Back",108.500000,-78.000000,90.000000,top
"D53","Device_D","Diode-Hybrid-Back",106.500000,-96.000000,90.000000,top
"D54","Device_D","Diode-Hybrid-Back",104.500000,-114.000000,90.000000,top
"D55","Device_D","Diode-Hybrid-Back",101.500000,-132.500000,90.000000,top
"D61","Device_D","Diode-Hybrid-Back",149.400000,-60.497888,91.600000,top
"D62","Device_D","Diode-Hybrid-Back",151.500000,-77.000000,90.000000,top
"D63","Device_D","Diode-Hybrid-Back",153.000000,-95.000000,90.000000,top
"D64","Device_D","Diode-Hybrid-Back",155.000000,-113.000000,90.000000,top
"D65","Device_D","Diode-Hybrid-Back",156.490000,-132.000000,90.000000,top
"D71","Device_D","Diode-Hybrid-Back",168.400000,-60.500000,97.000000,top
"D72","Device_D","Diode-Hybrid-Back",170.000000,-77.000000,97.000000,top
"D73","Device_D","Diode-Hybrid-Back",172.000000,-95.000000,97.000000,top
"D74","Device_D","Diode-Hybrid-Back",174.000000,-113.000000,97.000000,top
"D75","Device_D","Diode-Hybrid-Back",176.630000,-132.000000,97.000000,top
"D81","Device_D","Diode-Hybrid-Back",186.900000,-60.500000,97.000000,top
"D82","Device_D","Diode-Hybrid-Back",190.000000,-77.000000,97.000000,top
"D83","Device_D","Diode-Hybrid-Back",192.000000,-95.000000,97.000000,top
"D84","Device_D","Diode-Hybrid-Back",193.000000,-113.000000,97.000000,top
"D85","Device_D","Diode-Hybrid-Back",195.727002,-130.750000,97.000000,top
"D91","Device_D","Diode-Hybrid-Back",206.000000,-57.000000,97.000000,top
"D92","Device_D","Diode-Hybrid-Back",208.000000,-73.000000,97.000000,top
"D93","Device_D","Diode-Hybrid-Back",210.000000,-90.000000,97.000000,top
"D94","Device_D","Diode-Hybrid-Back",211.940000,-108.260000,97.000000,top
"D95","Device_D","Diode-Hybrid-Back",215.240000,-127.340000,97.000000,top
"D101","Device_D","Diode-Hybrid-Back",225.500000,-57.000000,97.000000,top
"D102","Device_D","Diode-Hybrid-Back",227.000000,-73.000000,97.000000,top
"D103","Device_D","Diode-Hybrid-Back",230.000000,-90.000000,97.000000,top
"D104","Device_D","Diode-Hybrid-Back",231.510000,-108.260000,97.000000,top
